"Date","Price","Open","High","Low","Change %"
"May 15","0.0030","0.0080","0.0300","0.0020","-40.00%"
"Jun 15","0.0200","0.0180","0.0310","0.0020","566.67%"
"Jul 15","0.0640","0.0200","0.0860","-0.0020","220.00%"
"Aug 15","0.0100","0.0810","0.1120","0.0020","-84.38%"
"Sep 15","0.0080","0.0790","0.0810","-0.0150","-20.00%"
"Oct 15","0.0790","-0.0020","0.0810","-0.0230","887.50%"
"Nov 15","0.1810","0.0760","0.2060","0.0380","129.11%"
"Dec 15","0.1780","0.2240","0.3050","0.1500","-1.66%"
"Jan 16","0.3150","0.1810","0.3380","0.1680","76.97%"
"Feb 16","0.3230","0.3230","0.3770","0.2720","2.54%"
"Mar 16","0.2130","0.3560","0.3920","0.1650","-34.06%"
"Apr 16","0.2050","0.2140","0.2950","0.1960","-3.76%"
"May 16","0.3020","0.2060","0.4020","0.1930","47.32%"
"Jun 16","0.2660","0.3430","0.3530","0.2410","-11.92%"
"Jul 16","0.2590","0.2660","0.3820","0.2330","-2.63%"
"Aug 16","0.3300","0.2760","0.4160","0.2510","27.41%"
"Sep 16","0.2840","0.3450","0.4310","0.1770","-13.94%"
"Oct 16","0.3090","0.4820","0.4870","0.2820","8.80%"
"Nov 16","0.4850","0.3660","0.6830","0.3590","56.96%"
"Dec 16","0.5020","0.5080","0.6470","0.4470","3.51%"
"Jan 17","0.5180","0.4820","0.6600","0.4820","3.19%"
"Feb 17","0.5410","0.5280","0.6240","0.4920","4.44%"
"Mar 17","0.7620","0.5530","0.8080","0.5460","40.85%"
"Apr 17","0.8030","0.7670","0.8460","0.7620","5.38%"
"May 17","0.9780","0.8030","0.9960","0.8030","21.79%"
"Jun 17","1.0210","0.9730","1.0720","0.9530","4.40%"
"Jul 17","1.0830","1.0240","1.2030","1.0190","6.07%"
"Aug 17","1.0040","1.0780","1.1670","0.9860","-7.29%"
"Sep 17","1.0570","1.0010","1.1460","0.9960","5.28%"
"Oct 17","1.1540","1.0570","1.1740","1.0340","9.18%"
"Nov 17","1.2690","1.1440","1.3280","1.1440","9.97%"
"Dec 17","1.3910","1.2660","1.4700","1.2580","9.61%"
"Jan 18","1.4650","1.3930","1.4780","1.2350","5.32%"
"Feb 18","1.6590","1.4500","1.6850","1.4500","13.24%"
"Mar 18","1.7150","1.6540","1.8230","1.6210","3.38%"
"Apr 18","1.8070","1.7230","1.8800","1.7030","5.36%"
"May 18","1.9150","1.8740","1.9590","1.8210","5.98%"
"Jun 18","1.9200","1.9150","1.9610","1.8940","0.26%"
"Jul 18","2.0330","1.9350","2.0480","1.9200","5.89%"
"Aug 18","2.1040","2.0330","2.1300","2.0000","3.49%"
"Sep 18","2.1990","2.1120","2.2230","2.0960","4.52%"
"Oct 18","2.3330","2.2010","2.3660","2.2010","6.09%"
"Nov 18","2.3630","2.3300","2.4250","2.3190","1.29%"
"Dec 18","2.3810","2.3580","2.4800","2.3400","0.76%"
"Jan 19","2.3970","2.4690","2.4740","2.3630","0.67%"
"Feb 19","2.4400","2.4010","2.4640","2.3810","1.79%"
"Mar 19","2.4000","2.4400","2.4920","2.3910","-1.64%"
"Apr 19","2.4320","2.4170","2.5560","2.3830","1.33%"
"May 19","2.3540","2.4410","2.5100","2.3420","-3.21%"
"Jun 19","2.1000","2.3470","2.3730","2.1000","-10.79%"
"Jul 19","2.0850","2.1070","2.2790","2.0210","-0.71%"
"Aug 19","1.9870","2.0720","2.1030","1.8690","-4.70%"
"Sep 19","1.8250","1.9870","2.0560","1.7870","-8.15%"
"Oct 19","1.5460","1.8740","1.8740","1.5420","-15.29%"
"Nov 19","1.5870","1.5600","1.6740","1.5210","2.65%"
"Dec 19","1.5560","1.5900","1.7560","1.5200","-1.95%"
"Jan 20","1.5540","1.5560","1.6130","1.5080","-0.13%"
"Feb 20","1.2850","1.5560","1.6070","1.2750","-17.31%"
"Mar 20","0.1320","1.2770","1.3510","-0.0580","-89.73%"
"Apr 20","0.1060","0.2140","0.4330","0.0710","-19.70%"
"May 20","0.1420","0.1270","0.1700","0.1040","33.96%"
"Jun 20","0.1470","0.1580","0.2330","0.1370","3.52%"
"Jul 20","0.0940","0.1500","0.1930","0.0940","-36.05%"
"Aug 20","0.1060","0.0910","0.1420","0.0860","12.77%"
"Sep 20","0.0960","0.1220","0.1240","0.0860","-9.43%"
"Oct 20","0.0940","0.1070","0.1220","0.0890","-2.08%"
"Nov 20","0.0810","0.0970","0.1170","0.0580","-13.83%"
"Dec 20","0.0790","0.0960","0.1170","0.0680","-2.47%"
"Jan 21","0.0580","0.0790","0.1010","0.0530","-26.58%"
"Feb 21","0.0410","0.0560","0.0760","0.0280","-29.31%"
"Mar 21","0.0230","0.0430","0.0560","0.0050","-43.90%"
"Apr 21","0.0130","0.0230","0.0410","0.0100","-43.48%"
"May 21","0.0130","0.0100","0.0330","0.0050","0.00%"
"Jun 21","0.0460","0.0200","0.0660","0.0130","253.85%"
"Jul 21","0.0460","0.0480","0.0630","0.0410","0.00%"
"Aug 21","0.0460","0.0560","0.0810","0.0430","0.00%"
"Sep 21","0.0380","0.0460","0.0580","0.0250","-17.39%"
"Oct 21","0.0580","0.0430","0.0790","0.0360","52.63%"
"Nov 21","0.0530","0.0630","0.0890","0.0410","-8.62%"
"Dec 21","0.0530","0.0580","0.0910","0.0430","0.00%"
"Jan 22","0.1850","0.0560","0.2360","0.0480","249.06%"
"Feb 22","0.3220","0.2460","0.4690","0.1900","74.05%"
"Mar 22","0.5200","0.4080","0.6860","0.3200","61.49%"
"Apr 22","0.8410","0.5330","0.9380","0.5200","61.73%"
"May 22","1.0670","0.8940","1.1080","0.7970","26.87%"
"Jun 22","1.7000","1.1690","1.8740","1.1230","59.33%"
"Jul 22","2.3730","1.7110","2.6050","1.6670","39.59%"
"Aug 22","2.9310","2.4240","3.0240","2.3470","23.51%"
"Sep 22","3.2830","2.9670","3.3950","2.9040","12.01%"
"Oct 22","4.0900","3.3030","4.1520","3.2410","24.58%"
"Nov 22","4.3640","4.2190","4.4290","4.0790","6.70%"
"Dec 22","4.4050","4.4050","4.4980","4.2580","0.94%"
"Jan 23","4.6930","4.4040","4.9260","4.3630","6.54%"
"Feb 23","4.8012","4.7375","4.8609","4.6230","2.31%"
